State,Rain,HSGrad
AL,60,66
AK,53,72
AZ,7,72
AR,49,77
CA,17,68
CO,44,75
CT,41,79
DE,39,68
DC,53,60
FL,49,61
GA,49,64
HI,23,76
ID,12,80
IL,33,78
IN,39,75
IA,35,86
KS,29,81
KY,44,70
LA,60,54
ME,44,79
MD,42,73
MA,44,80
MI,31,70
MN,26,90
MS,53,62
MO,34,73
MT,11,85
NE,30,86
NV,4,77
NH,37,76
NJ,42,82
NM,9,70
NY,39,64
NC,42,68
ND,15,87
OH,38,72
OK,31,76
OR,38,72
PA,40,79
RI,42,74
SC,52,61
SD,17,84
TN,48,68
TX,38,66
UT,15,79
VT,34,81
VA,39,74
WA,29,73
WV,31,78
WI,22,83
WY,13,82
