Beach,Date,E_Coli,Enterococci
Balbriggan,22/05/2013,63,9
Donabate,22/05/2013,10,1
Howth - Claremont,22/05/2013,10,1
Loughshinny,22/05/2013,20,1
Malahide,22/05/2013,52,63
Portmarnock,22/05/2013,10,1
Portrane - Burrow (The Brook),22/05/2013,10,1
Portrane - Tower Bay,22/05/2013,10,1
Rush - North Beach,22/05/2013,109,16
Rush - South Beach,22/05/2013,10,1
Skerries,22/05/2013,10,3
Sutton,22/05/2013,10,1
Balbriggan,04/06/2013,63,7
Donabate,04/06/2013,10,1
Howth - Claremont,04/06/2013,10,1
Loughshinny,04/06/2013,10,4
Malahide,04/06/2013,10,1
Portmarnock,04/06/2013,10,1
Portrane - Burrow (The Brook),04/06/2013,10,1
Portrane - Tower Bay,04/06/2013,10,8
Rush - North Beach,04/06/2013,20,1
Rush - South Beach,04/06/2013,10,2
Skerries,04/06/2013,10,1
Sutton,04/06/2013,10,1
Balbriggan,19/06/2013,109,113
Donabate,19/06/2013,10,1
Howth - Claremont,19/06/2013,122,26
Loughshinny,19/06/2013,10,2
Malahide,19/06/2013,10,2
Portmarnock,19/06/2013,10,1
Portrane - Burrow (The Brook),19/06/2013,10,1
Portrane - Tower Bay,19/06/2013,10,1
Rush - North Beach,19/06/2013,20,5
Rush - South Beach,19/06/2013,10,1
Skerries,19/06/2013,10,1
Sutton,19/06/2013,10,2
Balbriggan,02/07/2013,10,1
Donabate,02/07/2013,10,2
Howth - Claremont,02/07/2013,20,1
Loughshinny,02/07/2013,109,46
Malahide,02/07/2013,10,1
Portmarnock,02/07/2013,10,7
Portrane - Burrow (The Brook),02/07/2013,31,3
Portrane - Tower Bay,02/07/2013,10,2
Rush - North Beach,02/07/2013,75,15
Rush - South Beach,02/07/2013,10,2
Skerries,02/07/2013,10,21
Sutton,02/07/2013,10,14
Balbriggan,17/07/2013,73,17
Donabate,17/07/2013,10,4
Howth - Claremont,17/07/2013,20,12
Loughshinny,17/07/2013,31,8
Malahide,17/07/2013,10,1
Portmarnock,17/07/2013,20,5
Portrane - Burrow (The Brook),17/07/2013,31,10
Portrane - Tower Bay,17/07/2013,10,8
Rush - North Beach,17/07/2013,135,47
Rush - South Beach,17/07/2013,52,20
Skerries,17/07/2013,30,7
Sutton,17/07/2013,10,2
Balbriggan,06/08/2013,20,8
Donabate,06/08/2013,144,15
Howth - Claremont,06/08/2013,85,34
Loughshinny,06/08/2013,63,15
Malahide,06/08/2013,52,7
Portmarnock,06/08/2013,10,13
Portrane - Burrow (The Brook),06/08/2013,10,3
Portrane - Tower Bay,06/08/2013,10,4
Rush - North Beach,06/08/2013,20,17
Rush - South Beach,06/08/2013,10,1
Skerries,06/08/2013,10,1
Sutton,06/08/2013,10,68
Balbriggan,19/08/2013,201,22
Donabate,19/08/2013,20,33
Howth - Claremont,19/08/2013,246,230
Loughshinny,19/08/2013,62,10
Malahide,19/08/2013,52,8
Portmarnock,19/08/2013,457,29
Portrane - Burrow (The Brook),19/08/2013,52,6
Portrane - Tower Bay,19/08/2013,10,7
Rush - North Beach,19/08/2013,41,6
Rush - South Beach,19/08/2013,41,11
Skerries,19/08/2013,10,46
Sutton,19/08/2013,41,4
Balbriggan,03/09/2013,41,11
Donabate,03/09/2013,41,17
Howth - Claremont,03/09/2013,20,2
Loughshinny,03/09/2013,31,3
Malahide,03/09/2013,10,3
Portmarnock,03/09/2013,20,5
Portrane - Burrow (The Brook),03/09/2013,10,6
Portrane - Tower Bay,03/09/2013,10,2
Rush - North Beach,03/09/2013,10,5
Rush - South Beach,03/09/2013,20,3
Skerries,03/09/2013,10,2
Sutton,03/09/2013,10,3
