country,life,income,code
Australia,71,3426,1
Austria,70.40000153,3350,1
Belgium,70.59999847,3346,1
Canada,72,4751,1
Denmark,73.30000305,5029,1
Finland,69.80000305,3312,1
France,72.30000305,3403,1
West_Germany,70.30000305,5040,1
Ireland,70.69999695,2009,1
Italy,70.59999847,2298,1
Japan,73.19999695,3292,1
Netherlands,73.80000305,4103,1
NewZealand,71.09999847,3723,1
Norway,73.90000153,4102,1
Portugal,68.09999847,956,1
South_Africa,68.19999695,-32768,1
Sweden,74.69999695,5596,1
Switzerland,72.09999847,2963,1
Britain,72,2503,1
United_States,71.30000305,5523,1
Algeria,50.70000076,430,2
Ecuador,52.29999924,360,2
Indonesia,47.5,110,2
Iran,50,1280,2
Iraq,51.59999847,560,2
Libya,52.09999847,3010,2
Nigeria,36.90000153,180,2
Saudi_Arabia,42.29999924,1530,2
Venezuela,66.40000153,1240,2
